Escuela_DE,I_02,I_36,I_710,I_1114,I_06,I_714,I_314,Cob_est,Public + social secutity,pob,vincNBI,preciom2,Dist_CESAC,NEAR_FID,POINT_X,POINT_Y,DE,COMUNA,BARRIO
30_9,60.8,29.4,7.2,2.6,90.2,9.8,39.2,19.1,80.9,47476,1.844827586,3738.835191,2561.608373,8,102582.3929,107250.539,9,14,PALERMO
4_10,40.5,26.2,26.2,7.1,66.7,33.3,59.5,34.5,65.5,78731,2.387096774,2415.768956,1749.610592,9,99533.5195,108616.636,10,13,NUÃ‘EZ
4_11,19.6,33.7,25,21.7,53.3,46.7,80.4,82.1,17.9,56446,1.714285714,2426.16662,1078.827823,24,100526.0575,98151.8319,11,7,FLORES
4_12,30.3,29.5,16.4,23.8,59.8,40.2,69.7,55.7,44.3,88851,2.605504587,2428.604349,1471.003648,29,99655.4665,101459.7935,12,11,VILLA GRAL. MITRE
4_13,25.7,43.1,16.7,14.6,68.8,31.3,74.3,51.4,48.6,50645,1.15,2337.544936,732.3433609,19,96359.1337,97715.0168,13,9,MATADEROS
4_14,28.6,38.1,21.4,11.9,66.7,33.3,71.4,64.3,35.7,36520,0.607142857,1564.376485,2027.57231,8,99964.3433,104654.7078,14,15,VILLA ORTUZAR
4_15,25.8,46.8,14.5,12.9,72.6,27.4,74.2,35.5,64.5,65380,2.024691358,2205.001408,914.5215828,22,98088.4648,106532.744,15,12,VILLA URQUIZA
4_16,58.5,31.4,7.4,2.7,89.9,10.1,41.5,15.8,84.2,52469,1.625,2804.517709,1997.649192,23,96983.3947,104267.8419,16,15,AGRONOMIA
4_17,25.8,27.4,28.2,18.5,53.2,46.8,74.2,64.5,35.5,49320,1.220338983,2587.928957,2615.955963,17,95281.354,102376.9562,17,11,VILLA DEVOTO
4_18,16.9,20.3,33.9,28.8,37.2,62.7,83.1,74.6,25.4,55251,1.983606557,2302.124335,912.0936884,17,96500.2523,100614.945,18,10,VELEZ SARSFIELD
4_19,9.9,32.1,25.9,32.1,42,58,90.1,92.6,7.4,53097,1.784615385,3687.374243,237.4109548,16,102511.0078,98042.751,19,7,FLORES
4_2,39,36.4,10.4,14.3,75.4,24.7,61,39,61,146269,2.672131148,3284.538556,980.8941608,21,104235.2255,104156.5398,2,14,PALERMO
4_20,38.2,31.7,13.8,16.3,69.9,30.1,61.8,48.8,51.2,40081,2,2361.308632,2140.551543,19,94681.2157,98760.0635,20,9,LINIERS
4_21,10.9,29,26.5,33.6,39.9,60.1,89.1,93.2,6.8,45487,2.166666667,2127.392062,234.8591105,15,99450.9607,95266.9425,21,8,VILLA LUGANO
4_3,33.6,36.1,18.9,11.5,69.7,30.3,66.4,62.3,37.7,41305,0.040816327,2518.863289,880.020548,11,107902.0393,101706.4414,3,1,MONTSERRAT
4_5,18.8,31.3,31.3,18.8,50.1,50,81.3,79.2,20.8,63610,7.79245283,3093.279102,1820.131234,11,106775.9929,99991.5276,5,1,CONSTITUCION
4_6,33.3,41.2,10.8,14.7,74.5,25.5,66.7,38.2,61.8,121856,2.931677019,3162.026329,1401.399823,1,103760.1085,101115.6288,6,5,ALMAGRO
4_7,35,29.9,23.1,12,64.9,35,65,56.4,43.6,51791,2.106060606,3090.484573,2295.002525,14,101101.1451,100550.7533,7,6,CABALLITO
4_8,44.1,31.3,14.9,9.7,75.4,24.6,55.9,29.7,70.3,89342,1.648,2922.982258,1695.232007,14,102131.1033,100110.72,8,6,CABALLITO
4_9,31.3,22.9,18.8,27.1,54.2,45.8,68.8,54.2,45.8,62611,0.890410959,2565.077003,1443.810808,8,103260.2441,104073.5826,9,14,PALERMO
5_1,28,28,22.9,21,56,43.9,72,55.4,44.6,87501,4.338235294,2607.273909,1787.397328,21,106605.1315,103200.4619,1,1,SAN NICOLAS
5_10,44.8,34.3,14,7,79.1,20.9,55.2,37.2,62.8,31810,0.523809524,1558.401262,1542.373007,22,100405.4413,107224.631,10,13,BELGRANO
5_11,12,22.4,35.2,30.4,34.4,65.6,88,81.6,18.4,59323,1.837837838,3043.166409,2223.42186,24,99433.1081,98767.8638,11,7,FLORES
5_12,31.6,41.8,16.3,10.2,73.4,26.5,68.4,33.7,66.3,53564,0.951612903,2478.339584,1836.991966,29,99573.1961,100937.8086,12,7,FLORES
5_13,8.5,30.5,29.1,31.9,39,61,91.5,87.9,12.1,70947,2.036144578,2362.377978,927.4419096,25,99238.1195,97450.2302,13,9,PARQUE AVELLANEDA
5_14,44.4,33.3,15.6,6.7,77.7,22.2,55.6,40,60,72340,2.677777778,2261.508091,1452.87126,22,99066.3839,105134.7347,14,15,PARQUE CHAS
5_16,49,21.6,17.6,11.8,70.6,29.4,51,49,51,38059,1.785714286,2716.450041,1234.629957,23,95507.4438,104638.8954,16,11,VILLA DEVOTO
5_17,44.8,31.3,14.6,9.4,76.1,24,55.2,16.7,83.3,54532,0.264150943,1823.937236,1075.470195,29,97932.3339,103332.8232,17,11,VILLA DEL PARQUE
5_19,29.6,28.2,22.5,19.7,57.8,42.3,70.4,50.7,49.3,43696,1,2038.856119,1755.477789,13,103640.9226,96624.7357,19,4,NUEVA POMPEYA
5_2,44.7,38.6,7.3,9.3,83.3,16.7,55.3,19.5,80.5,87595,2.672727273,2299.351473,979.5861672,21,104446.2257,104276.5282,2,14,PALERMO
5_20,15.2,31.5,27.2,26.1,46.7,53.3,84.8,80.4,19.6,30477,1.333333333,2258.104981,852.1410725,19,96370.0743,96307.0483,20,9,MATADEROS
5_21,11.3,30.5,31.2,27,41.8,58.2,88.7,74.5,25.5,72461,2.584269663,2361.957762,514.75027,20,99787.9149,94359.9489,21,8,VILLA LUGANO
5_3,35.6,28.9,13.3,22.2,64.5,35.6,64.4,64.4,35.6,71382,4.982905983,3096.165784,1448.458479,11,106883.0282,100891.5027,3,1,CONSTITUCION
5_5,9.1,36.4,18.2,36.4,45.5,54.5,90.9,100,0,70443,0.022222222,2475.893322,1248.698935,28,107621.9193,98697.5214,5,4,BARRACAS
5_6,30.8,39,12.1,18.1,69.8,30.2,69.2,53.8,46.2,121116,4.315151515,2236.170169,1740.222836,1,105269.0921,101540.5557,6,3,BALVANERA
5_7,45.7,26.4,14.7,13.2,72.1,27.9,54.3,24.8,75.2,121521,1.404907975,3334.475108,1947.199799,29,100289.2033,101495.7659,7,7,FLORES
5_9,57.1,34.2,6.8,1.9,91.3,8.7,42.9,21.7,78.3,121737,2.054794521,2645.673114,2524.85205,8,102685.3879,107185.5361,9,14,PALERMO
6_1,20.6,30.4,27.5,21.6,51,49,79.4,68.6,31.4,40940,0.040816327,2656.897086,990.9857825,10,107915.1361,104016.3884,1,1,RETIRO
6_10,47.4,38.4,6.8,7.4,85.8,14.2,52.6,25.3,74.7,39111,0.972972973,1548.781634,968.007125,9,98806.5563,109098.6556,10,12,SAAVEDRA
6_11,15.1,25.5,30.2,29.2,40.6,59.4,84.9,77.4,22.6,53765,1.161290323,2596.228015,1141.980858,24,100563.0816,98745.8168,11,7,FLORES
6_12,37,32.1,14.8,16,69.1,30.9,63,35.2,64.8,59514,0.603773585,1484.371652,475.1744798,29,99092.2121,102406.5194,12,11,VILLA GRAL. MITRE
6_13,39.1,23.2,17.4,20.3,62.3,37.7,60.9,49.3,50.7,59127,1.479452055,2243.200208,1823.970959,17,97090.7042,99025.9964,13,10,VILLA LURO
6_16,38.4,32.8,16.8,12,71.2,28.8,61.6,39.2,60.8,67982,1.986666667,2937.39941,1229.210826,23,96983.4662,105969.8032,16,12,VILLA URQUIZA
6_17,19.3,42,21.6,17,61.3,38.6,80.7,50,50,41313,0.489795918,2516.23627,2951.928828,17,94578.3428,101732.0004,17,11,VILLA DEVOTO
6_19,18.9,37.7,24.5,18.9,56.6,43.4,81.1,69.8,30.2,37031,0.8,1978.918119,1623.199398,7,104206.9206,96882.7061,19,4,NUEVA POMPEYA
6_2,32.9,24.1,30.4,12.7,57,43,67.1,68.4,31.6,142316,3,2944.393471,649.3761056,21,104846.1515,102724.5466,2,3,BALVANERA
6_20,22,29.7,22,26.3,51.7,48.3,78,87.1,12.9,31964,0.633333333,1800.424368,640.707019,3,96534.0198,95099.0688,20,9,MATADEROS
6_21,18,32.6,23.3,26.2,50.6,49.4,82,76.7,23.3,34730,1.238095238,2805.645596,245.6770198,20,99962.8999,94097.522,21,8,VILLA LUGANO
6_5,24.6,25.4,22.8,27.2,50,50,75.4,68.4,31.6,61057,4.059405941,3187.042513,1739.211614,11,107124.972,99684.5199,5,1,CONSTITUCION
6_6,34.2,37.6,11.4,16.9,71.8,28.3,65.8,51.1,48.9,46243,2.690909091,2185.762761,1628.140995,26,105562.075,101291.5491,6,3,BALVANERA
6_7,50,28.6,7.1,14.3,78.6,21.4,50,39.3,60.7,65852,1.597701149,2902.671354,1886.758576,8,101558.2343,102921.6802,7,15,VILLA CRESPO
6_8,24.5,40.6,16.5,18.4,65.1,34.9,75.5,41.5,58.5,52963,0.852459016,2108.397351,1566.524587,26,103379.0787,100200.6655,8,5,BOEDO
6_9,33.6,40.2,13.1,13.1,73.8,26.2,66.4,37.4,62.6,21350,0.538461538,1514.206344,1473.563187,8,102986.3247,105843.5539,9,14,PALERMO
7_1,30.4,31.9,22.2,15.6,62.3,37.8,69.6,77,23,58008,3.104166667,3368.840851,2118.321386,10,107298.1098,103058.4361,1,1,SAN NICOLAS
7_10,35.5,33.6,17.3,13.6,69.1,30.9,64.5,55.5,44.5,53735,0.785714286,1573.991285,1779.690388,9,99609.5284,108868.6271,10,13,NUÃ‘EZ
7_11,15.2,33.1,24.1,27.6,48.3,51.7,84.8,90.3,9.7,83878,0.954954955,2650.546838,737.0771484,24,101394.7562,98973.2798,11,7,PARQUE CHACABUCO
7_12,42,27.3,14.8,15.9,69.3,30.7,58,44.3,55.7,58125,0.224137931,1856.045033,689.2315729,29,98281.2666,101918.8406,12,11,VILLA SANTA RITA
7_13,21.1,28.9,25.6,24.4,50,50,78.9,68.9,31.1,62324,1.5,2234.102697,1843.689261,19,97270.1424,98413.9627,13,10,VILLA LURO
7_16,54.2,33.3,6.3,6.3,87.5,12.5,45.8,21.9,78.1,29249,2.135135135,2687.82131,2804.684558,23,94863.3976,103189.9554,16,11,VILLA DEVOTO
7_17,49.1,37.7,8.8,4.4,86.8,13.2,50.9,27,73,63570,1.273972603,3043.155479,365.4929231,29,98426.2755,102209.828,17,11,VILLA SANTA RITA
7_18,21.5,31.2,23.7,23.7,52.7,47.3,78.5,57,43,54388,1.030769231,2294.620576,1974.041164,17,96462.1888,99081.9814,18,10,VILLA LURO
7_19,23.4,28.6,22.1,26,52,48.1,76.6,51.9,48.1,93187,1.724137931,2652.64301,667.6692205,12,101336.9725,96566.8338,19,8,VILLA SOLDATI
7_2,53,30.5,9.9,6.6,83.5,16.6,47,30.5,69.5,115541,2.891156463,2752.687122,1002.264182,1,102856.2877,102762.7582,2,6,CABALLITO
7_20,18.1,31.1,24.6,26.2,49.2,50.8,81.9,71.5,28.5,31383,1.184210526,2291.084692,658.1862522,19,95681.2221,96500.9293,20,9,MATADEROS
7_3,31.3,23.8,25,20,55.1,45,68.8,76.3,23.8,49591,0.090909091,2318.657779,897.4875476,11,107439.0218,101039.4759,3,1,CONSTITUCION
7_6,38.6,34,17,10.5,72.6,27.5,61.4,66.7,33.3,115287,3.8,2302.746998,211.5643037,26,104905.0364,100017.6056,6,3,SAN CRISTOBAL
7_8,21.3,32.4,24.2,22.2,53.7,46.4,78.7,69.1,30.9,72773,0.863636364,2396.147216,862.2374414,14,101940.073,99285.7467,8,7,PARQUE CHACABUCO
7_9,57.1,35.7,7.1,0,92.8,7.1,42.9,16.7,83.3,127163,1.278106509,3441.32549,1845.151342,8,100800.388,106169.6383,9,13,COLEGIALES
